Artist,Song,Artist.gender,Place,energy,duration,Happiness
Marija ?erifovi?,Molitva,Female,1,0.96,218,NA
Verka Serduchka,Dancing Lasha Tumbai,Male,2,0.97,180,NA
Serebro,Song #1,Female,3,0.95,200,5.36
Kenan Do?ulu,Shake It Up Shekerim,Male,4,0.74,183,NA
Elitsa Todorova and Stoyan Yankoulov,Water,Both,5,NA,NA,NA
Dmitry Koldun,Work Your Magic,Male,6,NA,NA,NA
Sarbel,Yassou Maria,Male,7,0.77,30,5.46
Hayko,Anytime You Need,Male,8,0.57,180,NA
Magdi R£zsa,Unsubstantial Blues,Female,9,0.46,182,NA
Natalia Barbu,Fight,Female,10,0.90,179,5.17
Marija,Rijeka bez imena,Female,11,0.51,186,5.10
Sopho,Visionary Dream,Female,12,0.73,170,NA
Todomondo,"Liubi, Liubi, I Love You",Male,13,0.59,180,5.27
Karolina,Mojot svet,Female,14,NA,NA,NA
Alenka Gotar,Cvet z juga,Female,15,0.79,184,4.84
Bonaparti.lv,Questa notte,Male,16,0.57,179,4.96
Hanna Pakarinen,Leave Me Alone,Female,17,0.86,214,NA
The Ark,The Worrying Kind,Male,18,0.86,177,5.50
Roger Cicero,Frauen regier'n die Welt,Male,19,0.70,178,4.58
D'NASH,I Love You Mi Vida,Male,20,0.95,180,5.26
4Fun,Love or Leave,Both,21,0.62,181,5.33
Les Fatals Picards,L'amour _ La Française,Male,22,0.89,163,NA
Scooch,Flying the Flag (for You),Both,23,0.99,283,5.17
Dervish,They Can't Stop The Spring,Both,24,0.70,173,4.84
